24-0000009444,02-0000156931,180,20000101,20000101,195049.4647,546022.125,,,1,2,1,3108755,1,,24-009444,14172,1,6
24-0000001845,02-0000077994,180,20220927,20220927,205400.582,556375.5113,태경엔지니어링,,1,2,1,5319428,1,2022-0101-033,24-001845,6357,1,1
24-0000011219,02-0000094863,0,20150213,,194957.4425,550926.2896,한길HC,,6,2,1,3208533,1,2015-0101-005,24-011219,15947,1,1
24-0000001480,02-0000008077,180,20070601,20070601,192753.8612,554938.0095,,0,3,1,1,,1,2012-0101-007,24-001480,828,1,2
24-0000005917,02-0000160349,180,20220927,20220927,202595.675,553705.0687,태경엔지니어링,0,1,2,1,4353898,1,2022-0101-033,24-005917,12020,1,1
24-0000018770,02-0000181017,,20210803,20210803,184097.851,552963.3109,대한신호,,1,2,1,382841,1,2021-0101-079,24-018770,23498,,1
24-0000010817,02-0000179537,180,20140730,20140730,185525.9,549856.95,대한신호(주),,6,2,1,1216622,1,2014-0201-050,24-010817,15545,1,1
24-0000006065,02-0000023766,180,20080101,20160510,191294.0828,539483.8079,대한신호,0,1,2,1,2035241,1,2016-0101-027,24-006065,2672,1,2
24-0000011214,02-0000126418,0,20150213,,198212.4184,551577.1046,한길HC,,6,2,1,3279063,1,2015-0101-005,24-011214,15942,1,1
24-0000005555,02-0000085319,180,20080101,20100610,204845.0311,561471.3073,(주)위앤기전, ,4,1,1, ,1,2012-0101-004,24-005555,7003,1,2
24-0000005555,02-0000085319,180,20080101,20090821,204845.0311,561471.3073,삼일안전시스템,0,4,1,1, ,1,2012-0101-004,24-005555,7004,1,2
24-0000005555,02-0000085319,180,20120203,20120203,204845.0311,561471.3073,대한신호, ,1,2,1, ,1,2012-0101-004,24-005555,7006,1,2
24-0000005554,02-0000085320,180,20080101,20100610,204886.5311,561475.4958,(주)위앤기전, ,4,1,1, ,1,2012-0101-004,24-005554,7008,1,2
24-0000005554,02-0000085320,180,20080101,20090821,204886.5311,561475.4958,삼일안전시스템,0,4,1,1, ,1,2012-0101-004,24-005554,7009,1,2
24-0000005554,02-0000085320,180,20120203,20120203,204886.5311,561475.4958,대한신호, ,1,2,1, ,1,2012-0101-004,24-005554,7011,1,2
24-0000008372,02-0000173649,270,20120828,20150213,199730.0375,546832.8187,한길HC,0,6,2,1,4200111,1,2015-0101-005,24-008372,13566,1,2
24-0000006632,02-0000163196,180,20120920,20210722,191645.7,546270.7812,대한신호,,1,2,1,2139906,1,2021-0101-079,24-006632,12424,1,2
24-0000009399,02-0000177280,180,20131115,20131115,192775.5625,554934.4125,한길,,6,2,1,23661310,1,2013-0101-023,24-009399,14127,1,4
24-0000012477,02-0000057036,0,,,201494.9125,549491.7812,,,1,2,1,4235643,1,,24-012477,17205,1,1
